KAB_KOTA,KOMPOSIT,NCPR,KEMISKINAN(%),PENGELUARAN_PANGAN(%),TANPA_LISTRIK(%),TANPA_AIR_BERSIH(%),Lama_Sekolah_Perempuan_(tahun),Rasio_Tenaga_Kesehatan,Angka_Harapan_Hidup_(tahun),Stunting_(%),IKP,IKP_Ranking,INDIKATOR
ACEH BARAT,5,0.68,19.31,40.58,1.45,29.88,9.32,2.75,67.72,32.63,74.9,219,Agak Rentan
ACEH BARAT DAYA,5,0.35,17.1,57.39,1.96,55.03,8.59,2.55,64.65,35.41,70.53,276,Rentan
ACEH BESAR,6,0.48,14.47,36.78,1.03,11.35,9.82,1.72,69.59,38.72,81.67,73,Sangat Tahan
ACEH JAYA,6,0.49,14.16,50.78,1.36,24.51,8.6,8.45,66.88,34,76.79,181,Agak Rentan
ACEH SELATAN,5,0.69,14.01,55.21,0.75,50.19,8.5,5.64,64.02,35.93,70.06,282,Rentan
ACEH SINGKIL,2,5,21.25,31.52,0.29,46.02,8.33,2.93,67.16,26.94,45.88,385,Sangat Rentan
ACEH TAMIANG,6,1.01,14.21,29.25,0.33,22.92,8.92,2.51,69.28,33.42,77.2,170,Agak Rentan
ACEH TENGAH,5,0.88,15.58,35.06,0.16,39.5,9.77,3.82,68.62,39.8,74.05,232,Agak Rentan
ACEH TENGGARA,5,0.41,14.29,50.21,0.86,37.51,9.18,4.84,67.77,45.3,75.28,208,Agak Rentan
ACEH TIMUR,5,0.42,14.49,43.55,0.68,41.64,8.18,3.2,68.44,42.8,75.08,215,Agak Rentan
ACEH UTARA,5,0.31,18.27,57.97,0,45.94,8.39,1.54,68.61,32.53,73.77,234,Agak Rentan
AGAM,6,0.38,6.76,36.56,1.25,36.07,8.97,2.86,71.83,30.04,82.49,56,Sangat Tahan
ALOR,4,0.96,21.63,62.3,24.37,40.82,7.82,2.61,60.8,45.51,62.3,331,Sangat Rentan
ASAHAN,5,2.13,10.25,31.48,0.29,18.22,8.71,2.65,67.79,24.87,72.29,252,Rentan
ASMAT,1,5,27.41,39.74,20.18,96.57,4.08,75.63,56.88,32.6,22.85,408,Sangat Rentan
BADUNG,6,1.12,1.98,6.62,0,5.44,9.62,0.17,74.71,25.24,89.01,3,Sangat Tahan
BALANGAN,6,0.82,5.59,31.62,1.15,28.65,7.02,2.4,67.37,36.22,78.27,146,Tahan
BANDUNG,6,1.83,6.65,30.64,0,18.54,8.6,0.61,73.26,35.21,77.05,175,Agak Rentan
BANDUNG BARAT,5,1.41,10.06,33.78,0,31.47,8.03,0.81,72.03,36.69,75.14,212,Agak Rentan
BANGGAI,6,0.38,9.12,16.57,2.53,22.82,8.18,5.42,70.32,31.9,83.75,33,Sangat Tahan
BANGGAI KEPULAUAN,3,3.25,15.65,34.26,9.96,28.75,8.27,4.47,65.12,40.48,58.17,351,Sangat Rentan
BANGGAI LAUT,2,5,16.32,34.82,9.42,13.2,8.85,0.93,64.21,34.15,50.24,376,Sangat Rentan
BANGKA,5,3.12,5.47,14.79,0.3,20.15,8.38,0.26,70.73,23.91,70.29,280,Rentan
BANGKA BARAT,4,4.24,3.05,14.53,1.22,23.93,7.58,0.5,69.73,33.27,62.07,332,Sangat Rentan
BANGKA SELATAN,4,3.15,3.7,26.21,0,25.46,6.81,0.84,67.47,26.92,66.52,320,Rentan
BANGKA TENGAH,3,5,5.81,18.93,0.35,20.47,7.28,0.45,70.78,26.09,57.6,353,Sangat Rentan
BANGKALAN,5,0.59,19.59,53.76,0.56,40.25,5.64,0.45,69.94,41.87,71.12,268,Rentan
BANGLI,5,1.84,4.89,20.02,0.93,18.66,6.98,0.38,70.05,43.14,75.49,204,Agak Rentan
BANJAR,6,0.54,2.7,23.48,0.44,40.23,7.05,2.38,66.66,33.45,79.85,115,Tahan
BANJARNEGARA,6,0.88,15.46,31.95,0.15,38.97,6.46,0.65,73.91,24.08,76.43,191,Agak Rentan
BANTAENG,6,0.19,9.23,19.78,0.71,14.33,7.12,0.77,70.11,21.03,86.53,6,Sangat Tahan
BANTUL,6,1.44,13.43,15.53,0.17,23.56,9.36,0.2,73.66,22.89,79,129,Tahan
BANYUASIN,6,0.16,11.32,23.73,1.97,55.51,7.37,7.21,68.55,29.3,77.71,159,Tahan
BANYUMAS,6,0.89,13.5,25.41,0,26.71,7.54,0.29,73.45,32.02,79.27,124,Tahan
BANYUWANGI,6,0.49,7.8,30.25,0.13,26.76,6.75,1.91,70.34,32.01,81.46,79,Tahan
BARITO KUALA,6,0.21,4.56,31.36,0.99,42.8,7.6,3.16,65.59,34.12,79.87,114,Tahan
BARITO SELATAN,5,2.12,4.55,30.52,2.48,42.11,8.54,11.78,66.89,40.19,68.46,302,Rentan
BARITO TIMUR,6,0.92,6.56,21.27,4.87,42.44,8.77,7.33,68.06,42.06,76.23,196,Agak Rentan
BARITO UTARA,6,0.67,5,24,4.53,25.21,8.51,14.91,71.28,34.58,82.31,61,Sangat Tahan
BARRU,6,0.21,9.04,12.95,3.7,22.87,8.02,0.93,68.6,34.09,84.22,26,Sangat Tahan
BATANG,6,0.71,8.69,34.45,0,19.38,6.86,0.61,74.56,25.28,83.16,44,Sangat Tahan
BATANGHARI,5,0.93,10.23,35.11,1.93,46.89,8.06,4.92,70.26,32.76,74.77,223,Agak Rentan
BATU BARA,5,1.08,12.57,42.72,0.41,25.83,8.04,1.51,66.38,23.72,74.94,216,Agak Rentan
BEKASI,6,1.17,4.37,21.07,0.15,9.73,9.01,0.36,73.43,26.37,85.01,17,Sangat Tahan
BELITUNG,3,5,7.56,10.7,0.37,16.3,8.24,0.39,70.64,19.9,59.22,347,Sangat Rentan
BELITUNG TIMUR,4,5,7.06,14.44,1.43,17.75,8.3,0.6,71.59,14.72,59.66,345,Sangat Rentan
BELU,5,0.65,15.7,44.21,16.46,39.82,6.91,1.65,63.81,46.78,69.31,290,Rentan
BENER MERIAH,3,3.47,20.13,29.41,0.53,39.69,9.65,1.72,68.99,45.95,56.73,358,Sangat Rentan
BENGKALIS,4,4.13,6.22,17.71,1.66,38.3,9.24,5.03,70.85,32.27,60.36,342,Sangat Rentan
BENGKAYANG,5,0.54,7.17,36.32,12.46,62.7,6.59,5,73.28,31.92,75.52,203,Agak Rentan
BENGKULU SELATAN,5,0.45,18.65,32.67,1.33,59.92,9.36,1.17,67.45,33.74,72.44,249,Agak Rentan
BENGKULU TENGAH,5,1.18,8.2,33.86,1.39,50.74,7.47,2.21,67.82,23.27,73.03,245,Agak Rentan
BENGKULU UTARA,4,1.62,11.81,34.89,1.64,63.03,7.81,3.27,67.67,26.81,66.85,314,Rentan
BERAU,6,0.99,5.04,9.72,1.1,12.03,8.99,19.67,71.68,31.66,84.19,27,Sangat Tahan
BIAK NUMFOR,2,5,25.72,17.69,1.13,35.56,9.68,37.89,68,43.7,44.88,387,Sangat Rentan
BIMA,5,0.37,14.84,54.58,0.34,30.14,7.66,5.71,65.71,32.01,75.45,206,Agak Rentan
BINTAN,3,5,6.61,13.46,2.72,38.45,8.22,2.03,70.21,21.48,55.35,361,Sangat Rentan
BIREUEN,6,0.51,14.31,50.14,0.54,39.74,9.32,0.71,70.92,40.97,76.35,194,Agak Rentan
BLITAR,6,0.62,9.72,24.21,0,33.56,7.43,0.71,73.16,27.36,81.46,78,Tahan
BLORA,6,0.23,11.9,32.52,0,18.43,6.37,0.99,74.12,32.86,84.1,28,Sangat Tahan
BOALEMO,6,0.25,20.33,21.31,6.23,30.02,7.37,3.57,68.25,44.82,76.43,190,Agak Rentan
BOGOR,5,2.39,7.14,35.48,0,36.61,7.94,0.53,70.86,32.86,69.11,291,Rentan
BOJONEGORO,6,0.27,13.16,39.16,0.33,21.4,6.93,0.93,71.07,34.91,81.21,86,Tahan
BOLAANG MONGONDOW,6,0.15,7.67,22.62,0,32.17,7.94,5.01,68.86,28.86,83.48,37,Sangat Tahan
BOLAANG MONGONDOW SELATAN,5,0.83,13.6,38.89,0.64,20.55,8.03,5.98,64.19,33.27,75.19,211,Agak Rentan
BOLAANG MONGONDOW TIMUR,6,0.58,6.03,25.77,0.85,35.48,7.98,5.15,67.51,26.28,80.28,104,Tahan
BOLAANG MONGONDOW UTARA,6,0.26,8.64,37.99,0.4,41.02,8.73,4.45,67.21,22.24,80.12,109,Tahan
BOMBANA,6,0.47,11.05,16.59,2.52,22.85,7.49,5.58,68.17,33.87,81.02,89,Tahan
BONDOWOSO,5,0.42,14.39,52.12,0,39.98,5.9,0.78,66.27,37.98,73.07,244,Agak Rentan
BONE,6,0.12,10.55,16.21,1.43,24.87,7.38,1.58,66.5,37.31,82.29,63,Sangat Tahan
BONE BOLANGO,6,0.9,17.4,15.49,0.67,22.37,8.93,2.57,67.95,29.11,77.63,161,Tahan
BOVEN DIGOEL,2,4.14,20.35,31.19,13.96,39.04,7.68,52.15,59.16,39.7,44.13,389,Sangat Rentan
BOYOLALI,6,0.55,10.04,16.76,0,32.01,7.32,0.54,75.79,28.51,83.62,35,Sangat Tahan
BREBES,5,0.64,17.17,35.33,0,28.19,6.08,0.55,68.84,38.53,75.09,214,Agak Rentan
BULELENG,6,1.43,5.36,32.89,0.29,20.49,6.69,0.78,71.36,20.47,78.77,139,Tahan
BULUKUMBA,6,0.26,7.48,31.07,1.02,21.42,7.96,0.57,67.27,36.23,82.73,50,Sangat Tahan
BULUNGAN,6,0.86,9.44,10.87,1.89,33.11,8.33,15.43,72.55,31.22,80.28,103,Tahan
BUNGO,5,1.93,5.78,32.84,2.46,36.27,8.13,2.87,67.42,20.74,71.91,257,Rentan
BUOL,6,0.49,16.08,25.76,5.97,17.33,8.95,12.94,67.59,34.22,79.09,127,Tahan
BURU,6,0.43,17.03,18.49,3.9,23.14,8.89,11.5,66.16,27.05,78.97,133,Tahan
BURU SELATAN,3,3.04,16.31,27.49,16.15,34.44,7.88,11.83,65.92,26.8,59.28,346,Sangat Rentan
BUTON,6,0.8,13.67,22.35,0.9,21.48,8.23,2.18,67.6,34.91,78.2,149,Tahan
BUTON SELATAN,5,1.33,14.82,14.6,3.45,59.96,6.59,0.94,67.33,34.81,68.12,303,Rentan
BUTON TENGAH,6,1.75,14.88,19.89,0.19,4.84,9,1.44,67.33,19.19,76.35,193,Agak Rentan
BUTON UTARA,5,2.27,14.93,20.41,2.53,19.98,8.68,2.78,70.56,37.12,70.34,279,Rentan
CIAMIS,6,0.63,7.22,29.46,0.07,39.12,7.7,0.81,71.32,33.39,79.91,113,Tahan
CIANJUR,6,0.56,9.81,46.85,0.09,46.04,7.14,1.37,69.7,33.51,75.86,201,Agak Rentan
CILACAP,6,0.38,11.25,26.59,0.2,27.72,6.74,0.77,73.39,32.1,82.45,59,Sangat Tahan
CIREBON,6,0.7,10.7,47.64,0.15,22.98,6.77,0.3,71.66,33.7,78.88,136,Tahan
DAIRI,6,0.45,8.2,62.36,1.16,37.03,9.16,1.4,68.41,40.17,77.18,171,Agak Rentan
DEIYAI,1,5,43.49,24.37,6,99.73,1.49,12.37,64.83,23.46,24.86,405,Sangat Rentan
DELI SERDANG,6,1.18,4.13,23.72,0.11,18.31,9.98,0.61,71.31,25.68,83.17,41,Sangat Tahan
DEMAK,6,0.29,12.54,27.41,0,16.46,7.44,0.56,75.29,26.11,85.91,13,Sangat Tahan
DHARMASRAYA,6,1.13,6.42,25.13,0.79,38.51,8.35,5.54,70.73,30.34,77.61,163,Tahan
DOGIYAI,1,5,30.48,26.48,72.6,92.3,2.07,26.18,65.32,57.48,22.6,409,Sangat Rentan
DOMPU,6,0.18,12.4,52.88,0.41,32.07,8.14,4.95,66.2,33.83,77.67,160,Tahan
DONGGALA,5,0.55,18.03,30.85,9.77,43.65,7.51,6.88,66.37,36.02,72.14,255,Rentan
EMPAT LAWANG,4,0.8,12.25,42.9,4.15,73.97,7.32,3.81,64.56,36.02,66.75,315,Rentan
ENDE,5,1.37,24.2,49.21,6.75,16.4,7.79,3.26,64.75,32.77,67.76,307,Rentan
ENREKANG,6,0.33,12.49,25.33,1.03,46.34,8.89,2.72,70.55,42.65,78.42,145,Tahan
FAKFAK,2,5,24.31,32.73,1.87,30.05,10.02,29.36,68.12,18.01,47.74,381,Sangat Rentan
FLORES TIMUR,5,0.97,11.05,39.92,8.11,11.04,7.4,2.14,64.7,46.53,75.11,213,Agak Rentan
GARUT,6,0.47,9.27,58.77,0.11,42.71,7.68,0.87,71.03,34.64,76.96,176,Agak Rentan
GAYO LUES,5,0.44,20.7,26.8,0.62,27.56,7.65,6.57,65.12,44.4,74.18,230,Agak Rentan
GIANYAR,6,0.81,4.19,2.29,0,8.92,8.58,0.19,73.26,12.08,89.76,2,Sangat Tahan
GORONTALO,6,0.29,16.81,14.01,4.75,28.64,7.26,1.38,67.45,34.59,78.89,135,Tahan
GORONTALO UTARA,6,0.24,18.54,20.86,3.03,25.45,7.3,3.77,65.36,33.34,77.73,158,Tahan
GOWA,6,0.24,7.83,17.29,0.65,22.78,7.85,2.5,70.11,44.45,84.04,29,Sangat Tahan
GRESIK,6,0.6,11.89,22.75,0.09,2.21,9.02,0.4,72.46,27.16,86.34,9,Sangat Tahan
GROBOGAN,6,0.27,12.31,47.37,0.22,14.31,6.55,0.67,74.55,39.16,82.98,46,Sangat Tahan
GUNUNG MAS,3,5,5.1,32.81,10.28,37.93,8.82,20.33,70.24,38.21,51.93,370,Sangat Rentan
GUNUNGKIDUL,6,0.21,17.12,34.22,0.16,29.92,6.89,1.03,73.92,32.51,80.65,95,Tahan
HALMAHERA BARAT,5,1.79,8.74,19.29,2.2,47.36,8.03,3.84,65.78,35.26,69.1,292,Rentan
HALMAHERA SELATAN,5,1.72,4.8,22.66,7.96,47.6,7.72,9.64,65.42,34.54,69.64,285,Rentan
HALMAHERA TENGAH,5,1.36,13.94,15.38,6.21,25.42,8.54,9.49,63.16,41.37,71.52,262,Rentan
HALMAHERA TIMUR,5,0.47,15.02,19.99,2.48,47.32,7.85,16.85,68.19,38.41,74.84,222,Agak Rentan
HALMAHERA UTARA,6,0.67,4.51,23.12,0.63,29.37,8.41,6.61,69.15,25.09,82.42,60,Sangat Tahan
HULU SUNGAI SELATAN,6,0.39,5.21,42.3,1.21,45.37,7.74,1.86,65.59,35.05,77.33,169,Agak Rentan
HULU SUNGAI TENGAH,6,0.34,6.01,41.79,0.29,38.94,7.83,2.05,65.54,32.44,78.66,141,Tahan
HULU SUNGAI UTARA,6,0.73,6.38,20.95,0.3,27.96,7.48,1.29,63.24,37.74,77.89,154,Tahan
HUMBANG HASUNDUTAN,5,0.41,9,47.79,1.37,59.03,9.12,5.94,68.69,41.33,74.7,224,Agak Rentan
INDRAGIRI HILIR,4,1.12,7.05,38.86,9.76,80,7.39,7.51,67.32,32.2,67.08,310,Rentan
INDRAGIRI HULU,4,4.41,6.3,18.3,1.51,22.39,8.41,5.76,69.97,32.21,60.14,343,Sangat Rentan
INDRAMAYU,6,0.23,11.89,51.16,0,13.12,5.54,1.06,71.11,33.98,81.59,74,Sangat Tahan
INTAN JAYA,1,5,42.71,29.33,69.64,86.65,1.42,79.81,65.26,49.64,16.62,413,Sangat Rentan
JAYAPURA,2,4.95,13.44,29.43,2.01,36.54,9.25,8.99,66.66,24.57,50.66,374,Sangat Rentan
JAYAWIJAYA,3,1.16,38.66,23.56,20.85,75.98,5.03,3.04,58.99,31.62,51.72,372,Sangat Rentan
JEMBER,5,0.52,9.98,44.62,0.56,47.42,5.87,0.8,68.74,38.31,74.55,227,Agak Rentan
JEMBRANA,6,0.86,5.2,23.02,0,33.49,7.66,0.75,71.91,29.07,81.22,85,Tahan
JENEPONTO,6,0.16,15.48,30.86,0.08,10.35,6.91,1.74,65.89,41.29,80.59,99,Tahan
JEPARA,6,0.65,7,38.91,0,20.62,7.65,0.46,75.71,33.57,83.85,31,Sangat Tahan
JOMBANG,6,0.45,9.56,35.8,0,28.23,8.18,0.32,72.04,29.78,82.18,64,Sangat Tahan
KAIMANA,2,5,16.65,26.83,22.9,43.5,9.51,10.64,64.25,16.75,46.4,384,Sangat Rentan
KAMPAR,4,3.37,8.18,30.94,0.67,30.34,8.62,4.95,70.35,32.05,63.97,326,Rentan
KAPUAS,6,0.13,5.2,35.09,3.34,57.16,7.57,10.5,68.64,41.54,77.79,157,Tahan
KAPUAS HULU,5,2,9.6,33.22,3.22,43.5,7.5,24.2,72.12,40.61,67.94,306,Rentan
KARANGANYAR,6,0.51,10.01,27.71,0,19.93,8.37,0.49,77.36,28.02,86.16,10,Sangat Tahan
KARANGASEM,6,0.82,6.28,21.36,0.17,21.69,5.84,0.46,70.05,26.23,81.44,82,Tahan
KARAWANG,6,0.39,8.06,35.17,0.16,20.61,7.54,0.39,71.81,33.11,83.61,36,Sangat Tahan
KARIMUN,3,5,6.9,17.97,1.15,18.22,7.84,1.46,70.52,31.59,57.25,356,Sangat Rentan
KARO,6,0.39,8.67,53.54,1.39,28.52,9.53,2.04,70.97,29.59,81.49,76,Tahan
KARTA BARAT,6,50,3.39,19.02,0,2.38,10.11,0.01,73.45,14.84,86.42,9,Sangat Tahan
KARTA PUSAT,6,50,3.59,18.6,0,1.13,11.06,0,73.92,23.5,87.1,6,Sangat Tahan
KARTA SELATAN,6,50,2.83,8.49,0,13.67,11.34,0.01,73.93,16.23,88.56,3,Sangat Tahan
KARTA TIMUR,6,50,3.14,13.19,0,10.38,11.02,0.01,74.27,18.36,87.31,5,Sangat Tahan
KARTA UTARA,6,50,5.35,19.71,0,0.33,10.33,0.02,73.08,18.95,84.19,21,Sangat Tahan
KATINGAN,6,0.6,5.22,32.98,1.74,40.35,8.38,24.4,65.62,33.26,76.89,177,Agak Rentan
KAUR,5,0.67,19.4,35.16,1.24,56.11,8.65,4.39,66.15,34.26,70.06,281,Rentan
KAYONG UTARA,5,0.47,10.08,35.22,3.21,70.1,5.77,13.98,67.71,33.42,71.13,267,Rentan
KEBUMEN,6,0.43,17.47,34.86,0,39.12,7.3,0.46,73.11,33.89,77.51,164,Agak Rentan
KEDIRI,6,0.78,11.31,32.73,0,35.64,7.8,0.57,72.37,29.36,78.64,142,Tahan
KEEROM,3,3.77,16.9,15.08,2.47,39.31,7.88,26.58,66.35,38.21,54.41,363,Sangat Rentan
KENDAL,6,0.69,9.84,24.59,0.08,13.54,7.17,0.58,74.3,25.48,84.55,20,Sangat Tahan
KEP. SIAU TAGULANDANG BIARO,5,2.37,9.87,26.5,0.28,51.38,9.02,0.7,70.14,19.46,67.99,304,Rentan
KEPAHIANG,5,1.1,14.42,22.52,1.98,43.7,8.16,1.03,67.39,36.67,72.36,251,Rentan
KEPULAUAN ANAMBAS,2,5,6.93,18.35,3.02,51.18,6.92,1.19,66.91,26.09,50.39,375,Sangat Rentan
KEPULAUAN ARU,1,5,27.12,16.64,41.51,35.96,8.7,17.08,62.52,36.02,40.1,395,Sangat Rentan
KEPULAUAN MENTAWAI,1,5,14.44,65.01,23.65,59.79,7.38,19.25,64.49,32.4,38.86,396,Sangat Rentan
KEPULAUAN MERANTI,3,2.32,27.79,26.99,10.03,90.23,7.73,4.28,67.21,29.87,52.07,369,Sangat Rentan
KEPULAUAN SANGIHE,3,5,11.82,38.4,5.21,26.72,8.43,0.63,69.6,22.99,52.89,366,Sangat Rentan
KEPULAUAN SELAYAR,4,2.97,13.13,35.44,3.2,18.03,7.94,2.4,68.03,46.01,63.6,327,Sangat Rentan
KEPULAUAN SULA,3,3.61,8.89,27.74,11.29,49.65,8.94,7.95,62.83,38.61,54.96,362,Sangat Rentan
KEPULAUAN TALAUD,6,1.63,9.5,25.6,1.14,25.4,9.24,2.36,69.71,23.59,76.11,197,Agak Rentan
KEPULAUAN YAPEN,2,4.47,27.17,24.02,23.01,27.35,8.47,9.98,68.85,46.22,47.61,383,Sangat Rentan
KERINCI,6,0.34,7.07,30.35,2.51,27.86,8.09,5.1,69.65,42.36,81.7,72,Sangat Tahan
KETAPANG,5,1.33,10.93,27.22,7.71,58.5,7.14,21.34,70.69,42.68,68.56,300,Rentan
KLATEN,6,0.52,12.96,38.54,0,31.21,8.17,0.21,76.67,29.62,81.93,68,Sangat Tahan
KLUNGKUNG,6,1.32,5.86,29.38,0.29,16.12,7.54,0.26,70.7,21.39,80.33,101,Tahan
KOLAKA,6,0.79,12.51,13.41,2.94,19.77,8.84,5.41,70.38,28.73,81.38,83,Tahan
KOLAKA TIMUR,6,0.27,13.82,9.02,3.92,16.78,8.81,4.41,71.99,17.58,86.47,8,Sangat Tahan
